iter	Logloss
0	0.6475799481
1	0.6204717159
2	0.5973227819
3	0.5693564018
4	0.533996741
5	0.5019321442
6	0.4980595907
7	0.4945371946
8	0.4790586631
9	0.4752825896
10	0.4565287431
11	0.4235415061
12	0.414925456
13	0.4009520213
14	0.389444073
15	0.3795309067
16	0.3691609303
17	0.3664264282
18	0.3372550408
19	0.3267769019
20	0.3060944478
21	0.3002000054
22	0.2956690987
23	0.2940596342
24	0.282395184
25	0.2771539688
26	0.2722904285
27	0.2665284673
28	0.2631378969
29	0.2414787213
30	0.2374862234
31	0.2255600691
32	0.2208817403
33	0.2138637702
34	0.2112411658
35	0.1937229236
36	0.1875138481
37	0.1855236888
38	0.1828661164
39	0.1803334355
40	0.1726963719
41	0.1676814159
42	0.1662256817
43	0.1615753373
44	0.1589818199
45	0.1571410497
46	0.154049019
47	0.1500685215
48	0.1402608454
49	0.1375808815
50	0.1310592294
51	0.1168862879
52	0.1106682916
53	0.1078113119
54	0.1042479674
55	0.1035713454
56	0.1018643677
57	0.1008293629
58	0.09829874833
59	0.09526340167
60	0.09021585186
61	0.08773264289
62	0.08225542307
63	0.07730742296
64	0.07265900572
65	0.07226377229
66	0.06834242741
67	0.06753016512
68	0.06556901832
69	0.0640053153
70	0.06327917178
71	0.06208194792
72	0.06159728765
73	0.06018565098
74	0.0591677626
75	0.0576257805
76	0.05459264914
77	0.05380514264
78	0.04996259014
79	0.04967773954
80	0.04820391039
81	0.04522551099
82	0.04467811187
83	0.0408038348
84	0.03930300723
85	0.03766237944
86	0.03540404638
87	0.03353705009
88	0.03271370629
89	0.03137048334
90	0.02902399997
91	0.02858683964
92	0.02736054361
93	0.02641524374
94	0.02624593675
95	0.02606672545
96	0.02589509388
97	0.02577676872
98	0.02567145973
99	0.02400115381
