Dataset,Model,Type,4-shot-auc,8-shot-auc,16-shot-auc,32-shot-auc,64-shot-auc,128-shot-auc,256-shot-auc,512-shot-auc,4-shot-std,8-shot-std,16-shot-std,32-shot-std,64-shot-std,128-shot-std,256-shot-std,512-shot-std
Adult,TabLLM,As-is,0.84,0.84,0.84,0.84,0.84,0.86,0.87,0.89,0.01,0.02,0.04,0.01,0.02,0.01,0,0.01
Bank,XGBoost,Raw,0.5,0.566,0.704,0.758,0.801,0.837,0.871,0.885,0,0.0924,0.0617,0.0443,0.026,0.0148,0.0096,0.00632
Bank,XGBoost,Ordered,0.5,0.566,0.699,0.766,0.817,0.856,0.884,0.897,0,0.0905,0.0609,0.0363,0.0275,0.0146,0.00874,0.00535
Bank,XGBoost,Onehot,0.5,0.563,0.709,0.766,0.811,0.848,0.872,0.895,0,0.0962,0.0648,0.0443,0.0276,0.0149,0.0103,0.00544
Bank,LightGBM,Raw,0.5,0.5,0.5,0.5,0.783,0.839,0.867,0.89,0,0,0,0,0.0256,0.0135,0.00856,0.00751
Bank,LightGBM,Ordered,0.5,0.5,0.5,0.5,0.787,0.845,0.882,0.9,0,0,0,0,0.0261,0.0146,0.00859,0.00503
Bank,LightGBM,Onehot,0.5,0.5,0.5,0.5,0.785,0.835,0.873,0.892,0,0,0,0,0.0258,0.0128,0.00965,0.00605
Bank,LR,Raw,0.642,0.682,0.733,0.765,0.812,0.84,0.856,0.866,0.0879,0.0823,0.0665,0.0413,0.0267,0.0149,0.0101,0.00429
Bank,LR,Ordered,0.662,0.702,0.753,0.803,0.833,0.862,0.874,0.881,0.0877,0.0865,0.0597,0.0463,0.0308,0.0108,0.00742,0.00398
Bank,LR,Onehot,0.667,0.718,0.77,0.801,0.834,0.863,0.88,0.892,0.0985,0.0873,0.059,0.0407,0.027,0.0114,0.00953,0.00412
Bank,LR,Biased,0.781,0.79,0.797,0.812,0.826,0.841,0.854,0.866,0.0154,0.0189,0.0174,0.0181,0.0158,0.0121,0.00844,0.00588
Bank,LR,Monotonic,0.755,0.768,0.785,0.807,0.844,0.865,0.884,0.895,0.0293,0.0382,0.0327,0.0335,0.0232,0.0131,0.00646,0.00466
Bank,TabPFN,Raw,0.613,0.62,0.75,0.811,0.826,0.849,0.867,0.878,0.0968,0.12,0.0581,0.0331,0.0153,0.0147,0.00718,0.00316
Bank,TabPFN,Ordered,0.629,0.624,0.762,0.824,0.846,0.87,0.883,0.896,0.0942,0.108,0.0574,0.0294,0.0164,0.0129,0.0078,0.00354
Bank,TabPFN,Onehot,0.639,0.6,0.716,0.778,0.822,0.85,0.882,0.896,0.11,0.0802,0.0435,0.0282,0.00905,0.0144,0.00841,0.0042
Bank,TabLLM,As-is,0.59,0.64,0.65,0.64,0.69,0.82,0.87,0.88,0.1,0.05,0.05,0.06,0.03,0.05,0.01,0.01
Blood,XGBoost,Raw,0.5,0.583,0.635,0.661,0.677,0.693,0.717,,0,0.0759,0.0804,0.0472,0.0294,0.0281,0.0344,
Blood,XGBoost,Ordered,0.5,0.583,0.635,0.661,0.677,0.693,0.717,,0,0.0759,0.0804,0.0472,0.0294,0.0281,0.0344,
Blood,XGBoost,Onehot,0.5,0.583,0.635,0.661,0.677,0.693,0.717,,0,0.0759,0.0804,0.0472,0.0294,0.0281,0.0344,
Blood,LightGBM,Raw,0.5,0.5,0.5,0.5,0.705,0.717,0.73,,0,0,0,0,0.0255,0.019,0.0349,
Blood,LightGBM,Ordered,0.5,0.5,0.5,0.5,0.705,0.717,0.73,,0,0,0,0,0.0255,0.019,0.0349,
Blood,LightGBM,Onehot,0.5,0.5,0.5,0.5,0.705,0.717,0.73,,0,0,0,0,0.0255,0.019,0.0349,
Blood,LR,Raw,0.594,0.657,0.678,0.718,0.735,0.742,0.746,,0.129,0.0976,0.0851,0.0374,0.0191,0.0196,0.0317,
Blood,LR,Ordered,0.594,0.657,0.678,0.718,0.735,0.742,0.746,,0.129,0.0976,0.0851,0.0374,0.0191,0.0196,0.0317,
Blood,LR,Onehot,0.594,0.657,0.678,0.718,0.735,0.742,0.746,,0.129,0.0976,0.0851,0.0374,0.0191,0.0196,0.0317,
Blood,LR,Biased,0.671,0.679,0.696,0.706,0.716,0.728,0.735,,0.0281,0.0281,0.0247,0.0225,0.0188,0.0191,0.0329,
Blood,LR,Monotonic,0.639,0.681,0.684,0.719,0.733,0.732,0.744,,0.0984,0.0385,0.0646,0.028,0.0234,0.0204,0.0331,
Blood,TabPFN,Raw,0.628,0.639,0.644,0.72,0.738,0.745,0.771,,0.0868,0.0836,0.088,0.0249,0.0261,0.0178,0.025,
Blood,TabPFN,Ordered,0.628,0.639,0.644,0.72,0.738,0.745,0.771,,0.0868,0.0836,0.088,0.0249,0.0261,0.0178,0.025,
Blood,TabPFN,Onehot,0.628,0.639,0.644,0.72,0.738,0.745,0.771,,0.0868,0.0836,0.088,0.0249,0.0261,0.0178,0.025,
Blood,TabLLM,As-is,0.58,0.66,0.66,0.68,0.68,0.68,0.7,0.68,0.09,0.03,0.07,0.04,0.04,0.06,0.08,0.04
California,XGBoost,Raw,0.5,0.57,0.718,0.792,0.84,0.87,0.899,0.919,0,0.0916,0.0838,0.0412,0.0221,0.0146,0.00776,0.00482
California,XGBoost,Ordered,0.5,0.579,0.737,0.807,0.856,0.876,0.901,0.919,0,0.0976,0.082,0.037,0.0198,0.012,0.00792,0.00476
California,XGBoost,Onehot,0.5,0.577,0.742,0.812,0.855,0.877,0.9,0.918,0,0.0952,0.0699,0.0359,0.0198,0.0123,0.00812,0.0058
California,LightGBM,Raw,0.5,0.5,0.5,0.5,0.81,0.87,0.9,0.92,0,0,0,0,0.0281,0.0171,0.0097,0.00533
California,LightGBM,Ordered,0.5,0.5,0.5,0.5,0.828,0.879,0.902,0.921,0,0,0,0,0.0353,0.0147,0.00969,0.00548
California,LightGBM,Onehot,0.5,0.5,0.5,0.5,0.831,0.881,0.902,0.921,0,0,0,0,0.0309,0.0098,0.0097,0.00499
California,LR,Raw,0.638,0.681,0.776,0.816,0.881,0.9,0.91,0.914,0.0925,0.109,0.0822,0.0655,0.022,0.0108,0.00439,0.0024
California,LR,Ordered,0.676,0.709,0.788,0.828,0.884,0.899,0.908,0.912,0.0983,0.101,0.0637,0.0535,0.0184,0.0096,0.00425,0.00252
California,LR,Onehot,0.681,0.716,0.809,0.856,0.886,0.9,0.909,0.915,0.0996,0.0995,0.0633,0.0352,0.0181,0.0094,0.00412,0.0025
California,LR,Biased,0.762,0.78,0.802,0.825,0.847,0.861,0.872,0.881,0.0288,0.0309,0.033,0.0229,0.0172,0.0118,0.00704,0.00423
California,LR,Monotonic,0.756,0.781,0.814,0.845,0.872,0.888,0.905,0.911,0.0634,0.0595,0.0382,0.036,0.0172,0.0081,0.00563,0.00415
California,TabPFN,Raw,0.66,0.674,0.769,0.826,0.884,0.903,0.917,0.931,0.104,0.0617,0.0905,0.0331,0.0256,0.00857,0.00469,0.00275
